"compound_name_user","compound_name_comptox","ptx_code","purpose_analysis","formula","nomination_source","mw_g_mol","cas_neutral","dtxsid_comptox_neutral","inchikey_neutral","smiles_canonical_neutral","smiles_flag","solubility_dmso_mol_liter","source_solubility_dmso","solubility_dmso_10_mmol_liter","solubility_h2o_mol_liter","solubility_h2o_mg_liter","source_solubility_h2o","solubility_h2o_ph74_mol_liter_acd","solubility_h2o_ph74_mg_liter_acd","density_kg_L","source_density","henry_coefficient_atm_m3_mol","kaw_kh_rt","source_henry","stability","medium_air_partition","source_medium_air","storage_conditions","source_storage","moa","source_moa","mie","source_mie","ke_selected","ao","source_ke_ao","logd_ph74_acd","pka_acid","pka_base","neutral_form_ph74","negative_form_ph74","positive_form_ph74","zwitterionic_form_ph74","double_negative_form_ph74","double_positive_form_ph74","source_pka","log_kow_liter_liter_exp","source_kow_exp","log_kow_liter_liter_pred_cons","log_kow_liter_liter_pred_all","source_kow_pred","log_kow_liter_liter_used","source_kow_used","log_klipw_lserd_liter_liter","log_klipw_liter_liter","source_klipw","log_dlipw_ph74_liter_liter","source_dlipw","log_kbsaw_neutral_liter_liter","source_kbsaw","log_kspw_neutral_liter_liter","log_dspw_ph74_liter_liter","baseline_d_rerio_micromole_liter","baseline_d_magna_micromole_liter","baseline_cells_generic_micromole_liter_ec10","baseline_c_elegans_micromole_liter","baseline_x_laevis_micromole_liter","baseline_d_melanogaster_micromole_liter","baseline_max_micromole_liter","c_elegans_lec_size_micromole_liter","c_elegans_ac50_micromole_liter","source_c_elegans","zf_embryo_effect_micromole_liter","zf_endpoint","are_bla_mole_liter_IC10","are_bla_cytotox_mole_liter_ecir15","gr_bla_mole_liter_tox21","gr_bla_cytotox_mole_liter_tox21","cytotox_other_reports","cytotox_other_source","incompatibilities","analytical_method","analysis_limitation","analysis_details","analysis_simple","analysis_source","effect_concentration_expected_micromole_liter","purchased_as","cas_purchased","mw_purchased","amount_ordered_mg_5l","comments","comment_origin","reasons_exclude","solubility_tested_zf_medium_mmole_liter","solubility_tested_zf_medium_mg_liter","solubility_concentration_type","solubility_tested_cellculture_mmole_liter","solubility_test_method","stock_type","ph_adjust","reason_ph_adjust","method_ph_adjust","volume_ph_adjust_approx","buffer_requirement","stability_glass","stability_plastic","stability_method","source_stability","shsy5y_cytotox_ic10_mol_liter","neurite_outgrowth_inhibition_ec10_mol_liter","sr_cytotoxicity_neurite_outgrowth","log_ac10_neuro","log_ac50_neuro","tox21_assay_neurotoxicity_braun_2023","drugbank_name","drugbank_id","drugbank_mechanism_of_action","flag_physchem","type_vials_shipped","amount_shipped_g","form_shipped","source_are","concentration_dmso_stock_mmole_liter"
"Cadmium chloride",,"PTX001","Pilot chemicals","CdCl2",,"183.31","10108-64-2","DTXSID6020226","YKYOUMDCQGMQQO-UHFFFAOYSA-L","Cl[Cd]Cl",,"1.074245813","cadmium chloride (chemister.ru)","Soluble","2.493044569","457000","MSDS (Sigma)",,,"4.05","MSDS (Sigma)","NA","NA",,,"NA",,"Room temperature",,,,,,,,,,,,"metal ",,,,,,,,,,,,,,,,,"metal",,,,,,,,,,,,,,,,,,"AC50 1.12 µM","AC50 0.344 µM (only channel 1)","AC50 1.2  µM","AC50 69.6 µM","Cytotoxicity limit 8.95 µM; ","chemistry dashboard","With Oxidizing agents, Bromine trifluoride","HR-ICP-MS","?","Finnigan MAT - ELEMENT (I) ( Thermo Scientific )","yes","Townsend et a., 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethoprophos",,"PTX002","Pilot chemicals","C8H19O2PS2",,"242.339","13194-48-4","DTXSID4032611","VJYFKVYYMZPMAB-UHFFFAOYSA-N","CCCSP(=O)(OCC)SCCC",,"20.63225482","MSDS (Cayman)","Soluble","0.003094838","750","exp., EPISUITE",,,"1.094","MSDS (Sigma)","1.62E-7","6.63E-6","exp., EPISUITE",,"no issue",,"2-8°C",,,,"AChE inhibition","irac-online.org","Motor effects, seizures","Neurotoxicity",,,,,"1",,,,,,,"3.59",,,,,"3.59","experimental Tomlin,C (1994)",,,"Kow QSAR","3.71","LSER eq. 1, calculated descriptors","2.9689",,"2.2307","2.2307","35.24520167758635","30.04692272040945","74.24109217153921","69.96808699785598","123.00421678013677","822.5456311418179","123.00421678013677",,,,,,"not active (reevaluated Escher 2020)","not cytotoxic","not active (reevaluated Escher 2020)","not cytotoxic",,,"With Strong oxidizing agents","?","?","?","?","?",,,,,"172.660699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WY-14643 / Pirinixic acid",,"PTX003","Pilot chemicals","C14H14ClN3O2S",,"323.798","50892-23-4","DTXSID4020290","SZRPDCCEHVWOJX-UHFFFAOYSA-N","Cc1cccc(c1C)Nc2cc(nc(n2)SCC(=O)O)Cl",,"50.95769585","MSDS (Cayman)","Soluble","0.14644933","47420","est., EPISUITE",,,,,"2.73E-13","1.12E-11","est., EPISUITE (Bond)",,"no issue",,"Room temperature",,,,"PPARalpha agonist","PMID: 19360380","Lipid metabolism","Metabolic disorders",,,"2.8","4.98","0.00377715025410285","0.996222755128267","9.46176299194918E-8",,,,"ACD pKa/GALAS",,,,,,"4.0205","mean of ACD consensus and KOWWIN",,,"Kow QSAR","3.19522316663285","Kow-QSAR (?mw=1)","3.274555",,"2.544965","1.55948316663285","113.95386636424816","79.4176447682691","137.44215792735164","182.75498626398465","265.1522935086154","1683.0042293684319","265.1522935086154",,,,,,"59.5 (reevaluated escher 2020)","not cytotoxic","not active (reevaluated escher 2020)","not cytotoxic",,,"With Strong oxidizing agents","?","?","?","?","?",,,,,"948.6896581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DMSO",,"PTX004","Pilot chemicals","C2H6OS",,"78.133","67-68-5","DTXSID2021735","IAZDPXIOMUYVGZ-UHFFFAOYSA-N","CS(=O)C",,"not applicable","not applicable","Soluble","completely miscible","completely miscible","MSDS (Sigma)",,,"1.1","MSDS (Sigma)","1.51E-9","6.18E-8","exp., EPISUITE",,"no issue",,"Room temperature",,,,,,,,,,,,"1",,,,,,,"-1.35",,,,,"-1.35","experimental Hansch,C et al. (1995)","-1.75",,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-1"," @ -1 at logKow < -1 (Gobas 1988)","1.31",,"-1.3755","-1.3755","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,,"92 mM (AREc32), 553 mM ARE-BLA (Escher 2019)",,"63 mM (AREc32) (Escher 2019)",,,"Acid chlorides, Phosphorus halides, Strong acids, Strong oxidizing agents, Strong reducing agents","?","?","?","?","?",,,,,"145145.8103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arsenic (III) oxide",,"PTX005","Pilot chemicals","As2O3",,"197.84","1327-53-3","DTXSID0020103","IKWTVSLWAPBBKU-UHFFFAOYSA-N","O=[As]O[As]=O",,"-","-","Soluble","0.089971694","17800","MSDS (Sigma)",,,"3.87","MSDS (Sigma)","NA","NA",,,"NA",,"Room temperature",,,,,,,,,,,,"inorganic",,,,,,,,,,,,,,,,,"inorganic",,,,,,,,,,,,,,,,,,,,,,"Cytotoxicity limit 7.94 µM; AC50 TR-Luc cytotox 27 µM","chemistry dashboard","With Oxidizing agents, Metals, Strong oxidizing agents
Risk of explosion with: Aluminum, magnesium, Zinc
Violent reactions possible with: halogens, Hydrogen halides, strong reducing agents, Bromine, Fluorine, halogen-halogen compounds, Hydrogen fluoride, nitrates, chlorates, Mercury","?","?","?","?","?",,,,,"58248.41439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sodium arsenite",,"PTX006","Pilot chemicals","NaAsO2",,"129.909","7784-46-5","DTXSID5020104","PTLRDCMBXHILCL-UHFFFAOYSA-M","[Na+].[O-][As]=O ",,,,"Soluble",,,,,,,,,,,,,,,,,,,,,,,,,,"inorganic",,,,,,,,,,,,,,,,,"inorganic",,,,,,,,,,,,,,,,,,,,,,,,,"?","?","?","?","?",,,,,"107797.6378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acrylamide","Acrylamide","PTX007","Grouping excercise acrylamides","C3H5NO",,"71.08","79-06-1","DTXSID5020027","HRPVXLWXLXDGHG-UHFFFAOYSA-N ","C=CC(=O)N",,,,"Soluble","8.98","638298.4","COMPTOX",,,"0.972","COMPTOX","2.48E-8","1.01E-6","COMPTOX (Opera)",,,,,,,,,,,,,,"15.1","-0.4","0.999999980047377","1.99526226651869E-8",,,,,"ACD pKa/GALAS","-0.67",,,,,"-0.67","Yalkowsky et al. Chemosphere 2002, 48, 487–509",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-0.22","LSERD, cited in Huchthausen 2023","1.31",,"-0.8791","-0.879100007798783","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,"4280","LC50 (Fei etal 2010, ECHA ZF database)",,,,,,,,,,,,,,,,,"209821.7107",,,,"590.4","41965.632"," Baseline x1fold","No","Visual + UV Absorbance","Water","no","/","/","/","/","0.862","1.038","LC-MS/MS",,,,,,,,,,,,,,,,
"N-(hydroxymethyl)acrylamide (NMA)","N-Methylolacrylamide","PTX008","Grouping excercise acrylamides","C4H7NO2",,"101.105","924-42-5","DTXSID3020885","CNCOEDDPFOAUMB-UHFFFAOYSA-N","OCNC(=O)C=C",,,,"Soluble","1.49279","150928.533","COMPTOX",,,"1.033","COMPTOX","1.77E-8","7.22E-7","COMPTOX (Opera)","spontaneous combustion in storage",,,"< 20°C",,,,,,,,,,"13.31;15.68","-1.3","0.999998769732743","1.23026725729058E-6",,,,,"ACD pKa/GALAS",,,,,,"-1.357","mean of ACD consensus and KOWWIN",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-1"," @ -1 at logKow < -1 (Gobas 1988)","1.31",,"-1.38061","-1.38061048086872","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,,,,,,,,"?","?","?","?","Nico Grasse (UFZ)",,,,,"558091.5567",,,,,,,,,,,,,,,,,,"Nico",,,,,,,,,,,,,,,
"N,N'-methylenediacrylamide (NBA or MBA?)","N,N'-Methylenebisacrylamide","PTX009","Grouping excercise acrylamides","C7H10N2O2",,"154.169","110-26-9","DTXSID8025595","ZIUHHBKFKCYYJD-UHFFFAOYSA-N","C=CC(=O)NCNC(=O)C=C",,,,"Soluble","0.124738","19230.73272","COMPTOX",,,"0.95","COMPTOX","4.28E-10","1.75E-8","COMPTOX (Opera)","stable",,,"RT",,,,,,,,,,"12.41;13.99","-1.95","0.999990227723289","9.77227671117298E-6",,,,,"ACD pKa/GALAS",,,,,,"-1.353","mean of ACD consensus and KOWWIN",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-0.56","LSERD, cited in Huchthausen 2023","1.31",,"-1.37769","-1.37769381965806","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,">64","LC50 (Truong et al. 2014, ECHA ZF database",,,,,,,,"?","?","?","?","Nico Grasse (UFZ)",,,,,"451779.3509",,,,"586.1","90358.4509"," Baseline x1fold","No","Visual + UV Absorbance","Water","no","/","/","/","/","0.995","0.999","LC-MS/MS","Nico",,,,,,,,,,,,,,,
"N-(butoxymethyl)acrylamide (NBMA)","N-(Butoxymethyl)acrylamide","PTX010","Grouping excercise acrylamides","C8H15NO2",,"157.213","1852-16-0","DTXSID9027443","UTSYWKJYFPPRAP-UHFFFAOYSA-N","CCCCOCNC(=O)C=C",,,,"Soluble","0.0765597","12036.18012","COMPTOX",,,"0.921","COMPTOX","2.1E-9","8.59E-8","COMPTOX (Opera)","?",,,"RT",,,,,,,,,,"13.7","-1.48","0.999999498813018","5.01186982471147E-7",,,,,"ACD pKa/GALAS",,,,,,"0.727","mean of ACD consensus and KOWWIN",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","1.06","LSERD, cited in Huchthausen 2023","1.31",,"0.14071","0.140709804103489","14811.532641485519","4475.071720476561","4677.573700431967","9803.925446044208","6413.867738182401","32791.40310428519","14811.532641485519",,,,,,,,,,,,,"?","?","?","?","Nico Grasse (UFZ)",,,,,"31001.23481",,,,"39.4","6194.1922"," Baseline x1fold","No","Visual + UV Absorbance","Water","no","/","/","/","/","1.026","1.0307","LC-MS/MS",,,,,,,,,,,,,,,,
